# Chunk-averaged data for fix 5 and group mobile
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number v_T vx vy vz v_vx2 v_vy2 v_vz2 c_cols[1] c_cols[2] c_cols[3] c_cols[4] c_cols[5] c_cols[6]
1000000 800 500000.00000000064
  1 0.125 0.855044 0.00855044 20202.5 -2.79306 2.24119 3.7502 19975.7 18599.4 22032.3 -185.876 -219.587 -239.388 31.3674 23.5773 26.7568
  2 0.375 42.9681 0.429681 17355.4 -0.242855 2.5538 0.0889291 16483 15421.1 20162 -248.801 -237.566 -209.567 -3.2724 -4.15321 1.74869
  3 0.625 61.6169 0.616169 16858.6 0.503516 1.96802 -0.153832 15736.1 15522 19317.7 -333.55 -342.666 -261.957 0.892144 -3.93972 4.02913
  4 0.875 60.6547 0.606547 17289 1.03683 2.24189 -0.266245 16648.2 16124.7 19094 -372.879 -371.971 -385.92 4.13476 -1.75456 -0.225243
  5 1.125 61.4455 0.614455 16760.5 -0.630166 -0.0429901 -0.606603 16198.1 15517.6 18565.8 -367.773 -369.965 -395.853 -3.75516 2.48983 -2.02975
  6 1.375 60.8783 0.608783 16717.8 0.983774 -0.116527 -0.942708 16219.3 15578.8 18355.3 -366.817 -379.676 -386.773 -0.751196 3.64219 -2.52714
  7 1.625 61.3539 0.613539 16672.6 2.21056 0.604793 -1.34713 16470.9 15593.8 17953 -378.223 -376.924 -384.51 6.28332 -3.57948 2.32141
  8 1.875 60.8471 0.608471 16810.8 1.9288 2.32933 -1.61816 16751.5 15799.2 17881.6 -376.515 -360.051 -394.217 1.15704 2.82067 0.53754
  9 2.125 60.8727 0.608727 16644.1 2.15816 1.39024 -1.93727 16345.1 15846.5 17740.7 -376.756 -365.063 -387.615 5.86456 1.50531 -1.33673
  10 2.375 61.1767 0.611767 16493 -0.190164 1.77039 -2.16185 16147 15836.6 17495.3 -370.296 -368.377 -388.076 -1.20855 -7.06014 0.0606034
  11 2.625 60.8435 0.608435 16506.4 0.379763 2.02256 -2.47295 16046.5 16199.3 17273.3 -368.956 -363.201 -379.751 4.08183 -0.382031 -1.52735
  12 2.875 60.0905 0.600905 16357.5 -0.18116 2.44331 -2.87418 16108.4 15761.7 17202.5 -374.352 -367.259 -379.003 -7.04203 1.10717 -2.51606
  13 3.125 60.3289 0.603289 16215 -0.0472055 1.59775 -3.15769 15870.3 15568.6 17206.1 -375.064 -371.48 -370.699 -0.547683 1.06486 2.7712
  14 3.375 59.2054 0.592054 16382 1.60705 1.342 -3.63484 16089.7 15710.7 17345.7 -354.111 -361.303 -366.469 1.02444 -4.10056 -1.21247
  15 3.625 57.9163 0.579163 16133.3 1.53307 0.799809 -4.14951 15627.5 15418 17354.6 -349.124 -342.116 -364.582 7.33423 -3.27005 -0.128792
  16 3.875 57.6963 0.576963 15871 1.4449 2.00676 -4.35353 15109.5 15374.5 17129.1 -342.697 -330.635 -355.411 9.50947 5.43354 -7.26568
  17 4.125 57.4681 0.574681 16053.4 1.49522 3.47554 -4.58778 15425.8 15577 17157.4 -340.367 -333.619 -346.125 4.46209 10.0055 -9.29918
